ts_sec,rel_ms,current_mA
1757011766.127477,15978.881,0.060
1757011766.129546,15980.949,0.060
1757011766.131615,15983.018,0.060
1757011766.133683,15985.086,0.060
1757011766.135752,15987.155,0.060
1757011766.137820,15989.224,0.060
1757011766.139889,15991.293,0.060
1757011766.141957,15993.361,0.060
1757011766.144028,15995.432,0.060
1757011766.146097,15997.501,0.060
1757011766.148166,15999.569,0.060
1757011766.150234,16001.638,0.060
1757011766.152301,16003.704,0.060
1757011766.154370,16005.774,0.060
1757011766.156437,16007.840,0.060
1757011766.158505,16009.909,0.060
1757011766.160572,16011.975,0.060
1757011766.162641,16014.044,0.060
1757011766.164709,16016.113,0.060
1757011766.166778,16018.182,0.060
1757011766.168846,16020.249,0.060
1757011766.170914,16022.317,0.060
1757011766.172982,16024.385,0.060
1757011766.175050,16026.454,0.060
1757011766.177119,16028.522,0.060
1757011766.179187,16030.591,0.060
1757011766.181255,16032.658,0.060
1757011766.183325,16034.728,0.060
1757011766.185393,16036.797,0.060
1757011766.187462,16038.866,0.060
1757011766.189532,16040.935,0.060
1757011766.191601,16043.004,0.060
1757011766.193669,16045.072,0.060
1757011766.195739,16047.143,0.060
1757011766.197809,16049.212,0.060
1757011766.199878,16051.281,0.060
1757011766.201946,16053.350,0.060
1757011766.204028,16055.432,0.060
1757011766.206098,16057.501,0.060
1757011766.208166,16059.569,0.060
1757011766.210234,16061.638,0.060
1757011766.212300,16063.704,0.060
1757011766.214369,16065.773,0.060
1757011766.216438,16067.841,0.060
1757011766.218506,16069.910,0.060
1757011766.220575,16071.978,0.060
1757011766.222643,16074.047,0.060
1757011766.224712,16076.116,0.060
1757011766.226781,16078.185,0.060
1757011766.228849,16080.252,0.060
1757011766.230918,16082.322,0.060
1757011766.232986,16084.390,0.060
1757011766.235055,16086.459,0.060
1757011766.237128,16088.531,0.060
1757011766.239196,16090.599,0.060
1757011766.241264,16092.668,0.060
1757011766.243333,16094.736,0.060
1757011766.245402,16096.806,0.060
