timestamp,iteration,elapsed_time,iteration_time
15:27:28.747997,116,1.348487,0.000440
15:27:28.759787,117,1.360276,0.001306
15:27:28.772022,118,1.372511,0.001274
15:27:28.784248,119,1.384737,0.001337
15:27:28.796111,120,1.396600,0.001316
15:27:28.808892,121,1.409381,0.001864
15:27:28.821733,122,1.422223,0.001943
15:27:28.834378,123,1.434867,0.001712
15:27:28.846694,124,1.447184,0.001368
15:27:28.858927,125,1.459417,0.001349
15:27:28.870914,126,1.471404,0.001362
15:27:28.883136,127,1.483626,0.001322
15:27:28.895076,128,1.495566,0.001346
15:27:28.907674,129,1.508163,0.001722
15:27:28.919857,130,1.520346,0.001551
15:27:28.932169,131,1.532659,0.001741
15:27:28.944221,132,1.544711,0.001366
15:27:28.956387,133,1.556876,0.001303
15:27:28.968508,134,1.568997,0.001318
15:27:28.980532,135,1.581022,0.001286
15:27:28.992599,136,1.593089,0.001348
15:27:29.004600,137,1.605089,0.001351
15:27:29.016590,138,1.617079,0.001306
15:27:29.028556,139,1.629045,0.001328
15:27:29.040604,140,1.641093,0.001339
15:27:29.052695,141,1.653184,0.001331
15:27:29.064739,142,1.665229,0.001316
15:27:29.076936,143,1.677425,0.001325
15:27:29.089117,144,1.689606,0.001347
15:27:29.101202,145,1.701691,0.001310
15:27:29.113257,146,1.713747,0.001305
15:27:29.125228,147,1.725718,0.001249
15:27:29.137322,148,1.737812,0.001322
15:27:29.149748,149,1.750237,0.001704
15:27:29.161881,150,1.762371,0.001310
15:27:29.173980,151,1.774470,0.001312
15:27:29.186928,152,1.787418,0.002158
15:27:29.198837,153,1.799327,0.001312
15:27:29.211090,154,1.811579,0.001369
15:27:29.224008,155,1.824497,0.002350
15:27:29.236546,156,1.837035,0.002007
15:27:29.248645,157,1.849134,0.001279
15:27:29.260754,158,1.861243,0.001308
15:27:29.272969,159,1.873458,0.001653
15:27:29.285891,160,1.886380,0.001736
15:27:29.298356,161,1.898845,0.001806
15:27:29.310904,162,1.911393,0.001709
15:27:29.321968,163,1.922457,0.000501
15:27:29.334070,164,1.934560,0.001325
15:27:29.346019,165,1.946508,0.001358
15:27:29.358774,166,1.959264,0.001851
15:27:29.371498,167,1.971987,0.001597
15:27:29.383873,168,1.984363,0.001549
15:27:29.396259,169,1.996748,0.001795
15:27:29.408327,170,2.008816,0.001571
15:27:29.419109,171,2.019598,0.000515
15:27:29.430274,172,2.030764,0.000798
15:27:29.441654,173,2.042144,0.000848
15:27:29.453690,174,2.054179,0.001044
15:27:29.466000,175,2.066489,0.001807
15:27:29.478234,176,2.078723,0.001861
15:27:29.490586,177,2.091075,0.001889
15:27:29.502671,178,2.103161,0.001691
15:27:29.515057,179,2.115546,0.001889
15:27:29.527529,180,2.128018,0.002026
15:27:29.539474,181,2.139964,0.001410
15:27:29.552066,182,2.152555,0.001846
15:27:29.565221,183,2.165710,0.001880
15:27:29.576381,184,2.176871,0.000593
15:27:29.588246,185,2.188735,0.001624
15:27:29.600677,186,2.201166,0.001681
15:27:29.614052,187,2.214541,0.001616
15:27:29.625073,188,2.225563,0.000388
15:27:29.635915,189,2.236404,0.000507
15:27:29.646603,190,2.247092,0.000358
15:27:29.657479,191,2.257968,0.000306
15:27:29.668356,192,2.268846,0.000377
15:27:29.679210,193,2.279700,0.000388
15:27:29.690257,194,2.290746,0.000537
15:27:29.701536,195,2.302026,0.000717
15:27:29.712677,196,2.313167,0.000576
15:27:29.723767,197,2.324257,0.000551
15:27:29.735575,198,2.336065,0.001248
15:27:29.747720,199,2.348209,0.001528
15:27:29.759665,200,2.360155,0.001322
15:27:29.772305,201,2.372795,0.001830
15:27:29.784250,202,2.384740,0.001243
15:27:29.795439,203,2.395928,0.000572
15:27:29.806519,204,2.407009,0.000585
15:27:29.817562,205,2.418051,0.000549
15:27:29.829292,206,2.429781,0.001246
15:27:29.841418,207,2.441908,0.001259
15:27:29.853743,208,2.454232,0.001457
15:27:29.865993,209,2.466483,0.001292
15:27:29.878079,210,2.478569,0.001242
15:27:29.890286,211,2.490776,0.001276
15:27:29.903145,212,2.503634,0.002033
15:27:29.915558,213,2.516047,0.001988
15:27:29.928574,214,2.529063,0.001974
15:27:29.940484,215,2.540973,0.001337
15:27:29.952816,216,2.553305,0.001836
15:27:29.964708,217,2.565197,0.001340
15:27:29.976591,218,2.577080,0.001327
15:27:29.988970,219,2.589460,0.001780
15:27:30.000684,220,2.601173,0.001241
15:27:30.012487,221,2.612977,0.001302
15:27:30.024985,222,2.625474,0.001615
15:27:30.037151,223,2.637640,0.001669
15:27:30.049472,224,2.649961,0.001801
15:27:30.061903,225,2.662393,0.001945
15:27:30.074543,226,2.675033,0.002024
15:27:30.087172,227,2.687662,0.002047
15:27:30.099107,228,2.699597,0.001355
15:27:30.111332,229,2.711822,0.001662
15:27:30.123409,230,2.723899,0.001532
15:27:30.135483,231,2.735973,0.001441
15:27:30.147397,232,2.747887,0.001371
15:27:30.159370,233,2.759860,0.001372
15:27:30.171466,234,2.771955,0.001262
15:27:30.183700,235,2.784189,0.001366
15:27:30.195760,236,2.796250,0.001291
15:27:30.208271,237,2.808761,0.001740
15:27:30.220446,238,2.820935,0.001364
15:27:30.232636,239,2.833126,0.001288
15:27:30.245558,240,2.846048,0.002079
15:27:30.258079,241,2.858568,0.001739
15:27:30.270545,242,2.871034,0.001959
15:27:30.283787,243,2.884276,0.001539
15:27:30.296051,244,2.896541,0.001586
15:27:30.307975,245,2.908464,0.001349
15:27:30.319859,246,2.920349,0.001334
15:27:30.331631,247,2.932121,0.001241
15:27:30.343410,248,2.943899,0.001274
15:27:30.356281,249,2.956771,0.002266
15:27:30.368685,250,2.969175,0.001793
15:27:30.381268,251,2.981758,0.001757
15:27:30.393673,252,2.994163,0.001678
15:27:30.406208,253,3.006698,0.001586
15:27:30.417850,254,3.018339,0.000968
15:27:30.429568,255,3.030057,0.001509
15:27:30.441428,256,3.041918,0.001384
15:27:30.452689,257,3.053179,0.000843
15:27:30.463892,258,3.064382,0.000971
15:27:30.475923,259,3.076412,0.001737
15:27:30.487766,260,3.088255,0.001397
15:27:30.499711,261,3.100201,0.001338
15:27:30.512152,262,3.112642,0.001887
15:27:30.534610,263,3.135099,0.001413
15:27:30.546713,264,3.147202,0.001434
15:27:30.559847,265,3.160336,0.001817
15:27:30.571981,266,3.172471,0.000469
15:27:30.582981,267,3.183470,0.000787
15:27:30.594132,268,3.194622,0.000865
15:27:30.606225,269,3.206714,0.001660
15:27:30.617533,270,3.218023,0.000630
15:27:30.628401,271,3.228891,0.000509
15:27:30.639203,272,3.239692,0.000452
15:27:30.650319,273,3.250808,0.000520
15:27:30.661190,274,3.261680,0.000501
15:27:30.672249,275,3.272738,0.000434
15:27:30.683160,276,3.283649,0.000640
15:27:30.694228,277,3.294718,0.000652
15:27:30.705377,278,3.305866,0.000652
15:27:30.716324,279,3.316813,0.000526
15:27:30.727135,280,3.327625,0.000404
15:27:30.737901,281,3.338391,0.000416
15:27:30.748641,282,3.349130,0.000416
15:27:30.759727,283,3.360216,0.000423
15:27:30.770584,284,3.371073,0.000588
15:27:30.781806,285,3.382296,0.000883
15:27:30.792982,286,3.393471,0.000847
15:27:30.804105,287,3.404595,0.000838
15:27:30.816052,288,3.416542,0.001653
15:27:30.828102,289,3.428591,0.001612
15:27:30.840729,290,3.441219,0.001851
15:27:30.853018,291,3.453507,0.001688
15:27:30.865556,292,3.466046,0.001909
15:27:30.877878,293,3.478368,0.001844
15:27:30.890104,294,3.490593,0.001683
15:27:30.901596,295,3.502085,0.000818
15:27:30.913714,296,3.514204,0.001786
15:27:30.926033,297,3.526523,0.001246
15:27:30.938760,298,3.539250,0.002317
15:27:30.951364,299,3.551853,0.002057
15:27:30.963567,300,3.564057,0.001700
15:27:30.976186,301,3.576675,0.001937
15:27:30.988687,302,3.589177,0.001820
15:27:31.001008,303,3.601497,0.001880
15:27:31.013093,304,3.613583,0.001707
15:27:31.025342,305,3.625832,0.001876
15:27:31.038847,306,3.639337,0.002165
15:27:31.051253,307,3.651742,0.001971
15:27:31.062294,308,3.662784,0.000648
15:27:31.073373,309,3.673862,0.000802
15:27:31.084655,310,3.685144,0.000709
15:27:31.095428,311,3.695918,0.000545
15:27:31.106225,312,3.706714,0.000540
15:27:31.116914,313,3.717403,0.000458
15:27:31.127629,314,3.728119,0.000476
15:27:31.138698,315,3.739187,0.000751
15:27:31.149885,316,3.750375,0.000876
15:27:31.161853,317,3.762342,0.001601
15:27:31.174297,318,3.774786,0.001893
15:27:31.186465,319,3.786955,0.001648
15:27:31.198275,320,3.798764,0.001378
15:27:31.210200,321,3.810689,0.001338
15:27:31.222598,322,3.823087,0.001821
15:27:31.235043,323,3.835532,0.001248
15:27:31.247268,324,3.847758,0.001597
15:27:31.259078,325,3.859567,0.001317
15:27:31.271214,326,3.871703,0.001368
15:27:31.283179,327,3.883668,0.001349
15:27:31.296137,328,3.896626,0.002330
15:27:31.308384,329,3.908874,0.001776
15:27:31.319521,330,3.920011,0.000599
15:27:31.331231,331,3.931720,0.001344
15:27:31.343246,332,3.943736,0.001344
15:27:31.355479,333,3.955969,0.001499
15:27:31.368112,334,3.968601,0.001380
15:27:31.379868,335,3.980358,0.001239
15:27:31.391659,336,3.992148,0.001329
15:27:31.404026,337,4.004516,0.001858
15:27:31.415106,338,4.015595,0.000510
15:27:31.425988,339,4.026478,0.000559
15:27:31.437081,340,4.037570,0.000771
15:27:31.448827,341,4.049316,0.000900
15:27:31.461532,342,4.062021,0.002187
15:27:31.473918,343,4.074408,0.001892
15:27:31.485759,344,4.086249,0.001323
15:27:31.499011,345,4.099501,0.002023
15:27:31.511630,346,4.112119,0.001774
15:27:31.524703,347,4.125192,0.002208
15:27:31.537306,348,4.137795,0.002090
15:27:31.550493,349,4.150982,0.002578
15:27:31.563298,350,4.163788,0.002205
15:27:31.576031,351,4.176521,0.002098
15:27:31.587126,352,4.187616,0.000620
15:27:31.598113,353,4.198602,0.000554
15:27:31.609225,354,4.209715,0.000692
15:27:31.620481,355,4.220971,0.000562
15:27:31.631364,356,4.231853,0.000679
15:27:31.642075,357,4.242564,0.000534
15:27:31.652942,358,4.253432,0.000557
15:27:31.663805,359,4.264294,0.000503
15:27:31.675107,360,4.275596,0.000941
15:27:31.686453,361,4.286942,0.000750
15:27:31.697680,362,4.298170,0.000648
15:27:31.708821,363,4.309310,0.000642
15:27:31.719830,364,4.320320,0.000549
15:27:31.730815,365,4.331305,0.000538
15:27:31.741786,366,4.342275,0.000509
15:27:31.752765,367,4.353255,0.000536
15:27:31.764224,368,4.364713,0.000988
15:27:31.775553,369,4.376043,0.000607
15:27:31.786833,370,4.387322,0.000593
15:27:31.798980,371,4.399470,0.001321
15:27:31.811330,372,4.411819,0.002010
15:27:31.824399,373,4.424889,0.001837
15:27:31.837126,374,4.437615,0.001907
15:27:31.849786,375,4.450276,0.001807
15:27:31.862349,376,4.462839,0.001867
15:27:31.875349,377,4.475839,0.001309
15:27:31.888470,378,4.488960,0.002216
15:27:31.900029,379,4.500519,0.000892
15:27:31.912302,380,4.512792,0.001922
15:27:31.924453,381,4.524943,0.001387
15:27:31.936410,382,4.536900,0.001383
15:27:31.948230,383,4.548720,0.001319
15:27:31.960035,384,4.560524,0.001318
15:27:31.972388,385,4.572878,0.001912
15:27:31.984546,386,4.585036,0.001563
15:27:31.996398,387,4.596888,0.001290
15:27:32.008141,388,4.608630,0.001259
15:27:32.019875,389,4.620364,0.001227
15:27:32.032116,390,4.632606,0.001759
15:27:32.044514,391,4.645004,0.001274
15:27:32.056214,392,4.656703,0.001192
15:27:32.068042,393,4.668532,0.001271
15:27:32.079871,394,4.680361,0.001194
15:27:32.091773,395,4.692263,0.001332
15:27:32.103707,396,4.704196,0.001454
15:27:32.116166,397,4.716655,0.001098
15:27:32.127865,398,4.728354,0.001349
15:27:32.140542,399,4.741032,0.002098
15:27:32.152365,400,4.752855,0.001287
15:27:32.164331,401,4.764821,0.001352
15:27:32.176213,402,4.776702,0.001328
