ts_sec,rel_ms,current_mA
1757368285.304793,24872.884,0.060
1757368285.306863,24874.954,0.060
1757368285.308932,24877.023,0.060
1757368285.311001,24879.092,0.060
1757368285.313070,24881.161,0.060
1757368285.315142,24883.233,0.060
1757368285.317214,24885.305,0.060
1757368285.319284,24887.375,0.060
1757368285.321353,24889.444,0.060
1757368285.323422,24891.513,0.060
1757368285.325491,24893.582,0.060
1757368285.327560,24895.651,0.060
1757368285.329630,24897.721,0.060
1757368285.331699,24899.791,0.060
1757368285.333769,24901.860,0.060
1757368285.335837,24903.929,0.060
1757368285.337907,24905.998,0.060
1757368285.339976,24908.067,0.060
1757368285.342047,24910.138,0.060
1757368285.344115,24912.206,0.060
1757368285.346184,24914.275,0.060
1757368285.348251,24916.342,0.060
1757368285.350321,24918.412,0.060
1757368285.352387,24920.478,0.060
1757368285.354456,24922.547,0.060
1757368285.356525,24924.616,0.060
1757368285.358593,24926.685,0.060
1757368285.360661,24928.752,0.060
1757368285.362730,24930.821,0.060
1757368285.364799,24932.890,0.060
1757368285.366869,24934.960,0.060
1757368285.368941,24937.032,0.060
1757368285.371011,24939.103,0.060
1757368285.373080,24941.171,0.060
1757368285.375150,24943.241,0.060
1757368285.377218,24945.309,0.060
1757368285.379288,24947.380,0.060
1757368285.381383,24949.474,0.060
1757368285.383453,24951.544,0.060
1757368285.385522,24953.613,0.060
1757368285.387593,24955.684,0.060
1757368285.389661,24957.752,0.060
1757368285.391730,24959.821,0.060
1757368285.393799,24961.890,0.060
1757368285.395868,24963.959,0.060
1757368285.397938,24966.029,0.060
1757368285.400016,24968.107,0.060
1757368285.402086,24970.177,0.060
1757368285.404156,24972.247,0.060
1757368285.406237,24974.329,0.060
1757368285.408310,24976.401,0.060
1757368285.410380,24978.471,0.060
1757368285.412448,24980.539,0.060
1757368285.414517,24982.608,0.060
1757368285.416587,24984.678,0.060
1757368285.418656,24986.748,0.060
1757368285.420717,24988.808,0.060
1757368285.422791,24990.882,0.060
1757368285.424855,24992.946,0.060
1757368285.426912,24995.003,0.060
1757368285.428970,24997.061,0.060
1757368285.431027,24999.118,0.060
1757368285.433084,25001.175,0.060
1757368285.435142,25003.233,0.060
1757368285.437200,25005.291,0.060
1757368285.439259,25007.350,0.060
1757368285.441316,25009.408,0.060
1757368285.443375,25011.467,0.060
1757368285.445434,25013.525,0.060
1757368285.447495,25015.586,0.060
1757368285.449555,25017.646,0.060
1757368285.451614,25019.706,0.060
1757368285.453674,25021.765,0.060
1757368285.455734,25023.825,0.060
1757368285.457798,25025.889,0.060
1757368285.459859,25027.951,0.060
1757368285.461920,25030.011,0.080
1757368285.463980,25032.071,0.080
1757368285.466042,25034.133,0.080
1757368285.468103,25036.194,0.080
1757368285.470173,25038.265,0.080
1757368285.472241,25040.332,0.080
1757368285.474310,25042.402,0.080
1757368285.476380,25044.471,0.080
1757368285.478448,25046.540,0.080
1757368285.480515,25048.607,0.080
1757368285.482588,25050.679,0.080
1757368285.484657,25052.748,0.080
1757368285.486727,25054.818,0.080
1757368285.488794,25056.885,0.080
1757368285.490862,25058.954,0.080
1757368285.492936,25061.027,0.080
1757368285.495006,25063.097,0.080
1757368285.497079,25065.170,0.080
1757368285.499148,25067.239,0.080
1757368285.501221,25069.312,0.080
1757368285.503291,25071.382,0.080
1757368285.505387,25073.478,0.080
1757368285.507456,25075.547,0.080
1757368285.509527,25077.618,0.080
1757368285.511596,25079.687,0.080
1757368285.513664,25081.756,0.080
1757368285.515741,25083.832,0.080
1757368285.517812,25085.904,0.080
1757368285.519882,25087.973,0.080
1757368285.521951,25090.043,0.080
1757368285.524026,25092.117,0.080
1757368285.526096,25094.187,0.080
1757368285.528163,25096.254,0.080
1757368285.530233,25098.324,0.080
1757368285.532300,25100.392,0.080
1757368285.534374,25102.465,0.080
1757368285.536440,25104.531,0.080
1757368285.538516,25106.607,0.080
1757368285.540583,25108.674,0.080
1757368285.542655,25110.746,0.080
1757368285.544721,25112.812,0.080
1757368285.546801,25114.892,0.080
1757368285.548868,25116.960,0.080
1757368285.550939,25119.030,0.080
1757368285.553006,25121.097,0.080
1757368285.555075,25123.167,0.080
1757368285.557144,25125.235,0.080
1757368285.559213,25127.305,0.080
1757368285.561280,25129.372,0.080
1757368285.563352,25131.443,0.080
1757368285.565421,25133.512,0.080
1757368285.567490,25135.581,0.080
1757368285.569561,25137.652,0.080
1757368285.571630,25139.721,0.080
1757368285.573698,25141.789,0.080
1757368285.575768,25143.859,0.080
1757368285.577836,25145.927,0.080
1757368285.579906,25147.997,0.080
1757368285.581975,25150.066,0.080
1757368285.584021,25152.112,0.080
1757368285.586089,25154.181,0.080
1757368285.588157,25156.248,0.080
1757368285.590226,25158.317,0.080
1757368285.592293,25160.384,0.080
1757368285.594362,25162.453,0.080
1757368285.596430,25164.521,0.080
1757368285.598498,25166.589,0.080
1757368285.600566,25168.657,0.080
1757368285.602635,25170.726,0.080
1757368285.604702,25172.793,0.080
1757368285.606771,25174.862,0.080
1757368285.608841,25176.932,0.080
1757368285.610909,25179.001,0.080
1757368285.612981,25181.072,0.080
1757368285.615050,25183.141,0.080
1757368285.617119,25185.210,0.080
1757368285.619188,25187.279,0.080
1757368285.621256,25189.348,0.080
1757368285.623326,25191.417,0.080
1757368285.625394,25193.485,0.080
1757368285.627462,25195.554,0.080
1757368285.629531,25197.622,0.080
1757368285.631600,25199.691,0.080
1757368285.633669,25201.760,0.060
1757368285.635739,25203.830,0.060
1757368285.637808,25205.899,0.060
1757368285.639877,25207.968,0.060
1757368285.641946,25210.037,0.060
1757368285.644028,25212.119,0.060
1757368285.646098,25214.189,0.060
1757368285.648166,25216.257,0.060
1757368285.650235,25218.326,0.060
1757368285.652302,25220.393,0.060
1757368285.654371,25222.462,0.060
1757368285.656439,25224.530,0.060
1757368285.658507,25226.599,0.060
1757368285.660576,25228.667,0.060
1757368285.662646,25230.737,0.060
1757368285.664715,25232.806,0.060
1757368285.666785,25234.876,0.060
1757368285.668853,25236.944,0.060
1757368285.670922,25239.013,0.060
1757368285.672993,25241.085,0.060
1757368285.675064,25243.155,0.060
1757368285.677132,25245.223,0.060
1757368285.679201,25247.292,0.060
1757368285.681269,25249.361,0.060
1757368285.683338,25251.429,0.060
1757368285.685406,25253.497,0.060
1757368285.687476,25255.567,0.060
1757368285.689545,25257.637,0.060
1757368285.691614,25259.705,0.060
1757368285.693684,25261.775,0.060
1757368285.695754,25263.845,0.060
1757368285.697823,25265.914,0.060
1757368285.699892,25267.983,0.060
1757368285.701962,25270.053,0.060
1757368285.704021,25272.112,0.060
1757368285.706090,25274.181,0.060
1757368285.708158,25276.249,0.060
1757368285.710228,25278.319,0.060
1757368285.712294,25280.385,0.060
1757368285.714363,25282.454,0.060
1757368285.716429,25284.521,0.060
1757368285.718498,25286.590,0.060
1757368285.720568,25288.659,0.060
1757368285.722638,25290.729,0.060
1757368285.724707,25292.799,0.060
1757368285.726777,25294.868,0.060
1757368285.728844,25296.936,0.060
1757368285.730914,25299.005,0.060
1757368285.732983,25301.074,0.060
1757368285.735052,25303.143,0.060
1757368285.737121,25305.212,0.060
1757368285.739191,25307.282,0.060
1757368285.741259,25309.350,0.060
1757368285.743328,25311.419,0.060
1757368285.745399,25313.490,0.060
1757368285.747468,25315.559,0.060
1757368285.749537,25317.628,0.060
1757368285.751606,25319.697,0.060
1757368285.753675,25321.766,0.060
1757368285.755744,25323.836,0.060
1757368285.757812,25325.903,0.060
1757368285.759881,25327.972,0.060
1757368285.761950,25330.041,0.060
1757368285.764022,25332.113,0.060
1757368285.766091,25334.182,0.060
1757368285.768160,25336.251,0.060
1757368285.770229,25338.320,0.060
1757368285.772296,25340.387,0.060
1757368285.774365,25342.457,0.060
1757368285.776434,25344.525,0.060
1757368285.778503,25346.594,0.060
1757368285.780570,25348.661,0.060
1757368285.782640,25350.731,0.060
1757368285.784708,25352.799,0.060
1757368285.786777,25354.868,0.060
1757368285.788846,25356.938,0.060
1757368285.790915,25359.006,0.060
1757368285.792984,25361.075,0.060
1757368285.795053,25363.144,0.060
1757368285.797120,25365.211,0.060
1757368285.799193,25367.285,0.060
1757368285.801263,25369.354,0.060
1757368285.803331,25371.422,0.060
1757368285.805402,25373.493,0.060
1757368285.807471,25375.562,0.060
1757368285.809540,25377.631,0.060
1757368285.811609,25379.700,0.060
1757368285.813679,25381.770,0.060
1757368285.815747,25383.839,0.060
1757368285.817817,25385.909,0.060
1757368285.819888,25387.979,0.060
1757368285.821957,25390.048,0.060
1757368285.824029,25392.120,0.060
1757368285.826097,25394.188,0.060
1757368285.828166,25396.258,0.060
1757368285.830235,25398.327,0.060
1757368285.832304,25400.395,0.060
1757368285.834374,25402.465,0.060
1757368285.836441,25404.532,0.060
1757368285.838509,25406.600,0.060
1757368285.840576,25408.667,0.060
1757368285.842644,25410.736,0.060
1757368285.844716,25412.807,0.060
1757368285.846785,25414.876,0.060
1757368285.848854,25416.945,0.060
