ts_sec,rel_ms,current_mA
1757368514.192992,43863.925,0.060
1757368514.195061,43865.994,0.060
1757368514.197131,43868.064,0.060
1757368514.199200,43870.133,0.060
1757368514.201269,43872.202,0.060
1757368514.203338,43874.271,0.060
1757368514.205409,43876.343,0.060
1757368514.207479,43878.412,0.060
1757368514.209548,43880.481,0.060
1757368514.211617,43882.551,0.060
1757368514.213686,43884.619,0.060
1757368514.215755,43886.689,0.060
1757368514.217824,43888.758,0.060
1757368514.219894,43890.827,0.060
1757368514.221963,43892.896,0.060
1757368514.224027,43894.961,0.060
1757368514.226096,43897.030,0.060
1757368514.228164,43899.098,0.060
1757368514.230236,43901.169,0.060
1757368514.232303,43903.236,0.060
1757368514.234372,43905.306,0.060
1757368514.236439,43907.372,0.060
1757368514.238508,43909.442,0.060
1757368514.240577,43911.510,0.060
1757368514.242646,43913.579,0.060
1757368514.244714,43915.648,0.060
1757368514.246783,43917.717,0.060
1757368514.248855,43919.788,0.060
1757368514.250923,43921.856,0.060
1757368514.252990,43923.924,0.060
1757368514.255060,43925.993,0.060
1757368514.257126,43928.060,0.060
1757368514.259196,43930.129,0.060
1757368514.261264,43932.197,0.060
1757368514.263332,43934.266,0.060
1757368514.265401,43936.335,0.060
1757368514.267470,43938.404,0.060
1757368514.269540,43940.473,0.060
1757368514.271609,43942.543,0.060
1757368514.273678,43944.612,0.060
1757368514.275748,43946.681,0.060
1757368514.277816,43948.750,0.060
1757368514.279886,43950.819,0.060
1757368514.281955,43952.888,0.060
1757368514.284023,43954.957,0.060
1757368514.286092,43957.025,0.060
1757368514.288161,43959.095,0.060
1757368514.290230,43961.164,0.060
1757368514.292297,43963.230,0.060
1757368514.294366,43965.300,0.060
1757368514.296436,43967.369,0.060
1757368514.298505,43969.439,0.060
1757368514.300572,43971.506,0.060
1757368514.302641,43973.575,0.060
1757368514.304710,43975.644,0.060
1757368514.306781,43977.715,0.060
1757368514.308851,43979.784,0.060
1757368514.310920,43981.853,0.060
1757368514.312990,43983.924,0.060
1757368514.315060,43985.993,0.060
1757368514.317128,43988.062,0.060
1757368514.319197,43990.130,0.060
1757368514.321266,43992.200,0.060
1757368514.323336,43994.269,0.060
1757368514.325407,43996.340,0.060
1757368514.327475,43998.409,0.060
1757368514.329544,44000.478,0.060
1757368514.331613,44002.547,0.060
1757368514.333682,44004.615,0.060
1757368514.335751,44006.684,0.060
1757368514.337821,44008.754,0.060
1757368514.339890,44010.824,0.060
1757368514.341960,44012.893,0.060
1757368514.344026,44014.959,0.060
1757368514.346094,44017.028,0.060
1757368514.348161,44019.095,0.060
1757368514.350230,44021.164,0.060
1757368514.352297,44023.231,0.060
1757368514.354366,44025.299,0.060
1757368514.356466,44027.399,0.060
1757368514.358541,44029.475,0.060
1757368514.360602,44031.536,0.060
1757368514.362664,44033.597,0.060
1757368514.364721,44035.655,0.060
1757368514.366778,44037.712,0.060
1757368514.368836,44039.769,0.060
1757368514.370894,44041.827,0.060
1757368514.372951,44043.885,0.060
1757368514.375009,44045.943,0.060
1757368514.377067,44048.001,0.060
1757368514.379127,44050.060,0.060
1757368514.381186,44052.120,0.060
1757368514.383247,44054.180,0.060
1757368514.385307,44056.240,0.060
1757368514.387367,44058.300,0.060
1757368514.389428,44060.361,0.060
1757368514.391489,44062.422,0.060
1757368514.393552,44064.485,0.060
1757368514.395614,44066.548,0.060
1757368514.397677,44068.610,0.060
1757368514.399740,44070.673,0.060
1757368514.401804,44072.737,0.080
1757368514.403868,44074.802,0.080
1757368514.405933,44076.867,0.080
1757368514.408011,44078.945,0.080
1757368514.410078,44081.012,0.080
1757368514.412144,44083.078,0.080
1757368514.414211,44085.145,0.080
1757368514.416278,44087.212,0.080
1757368514.418347,44089.280,0.080
1757368514.420414,44091.348,0.080
1757368514.422482,44093.416,0.080
1757368514.424551,44095.484,0.080
1757368514.426620,44097.553,0.080
1757368514.428687,44099.620,0.080
1757368514.430755,44101.689,0.060
1757368514.432824,44103.758,0.060
1757368514.434893,44105.827,0.060
1757368514.436961,44107.894,0.060
1757368514.439029,44109.963,0.060
1757368514.441098,44112.032,0.060
1757368514.443167,44114.101,0.060
1757368514.445235,44116.169,0.060
1757368514.447305,44118.239,0.060
1757368514.449375,44120.309,0.060
1757368514.451445,44122.378,0.060
1757368514.453513,44124.446,0.060
1757368514.455581,44126.515,0.060
1757368514.457650,44128.584,0.060
1757368514.459719,44130.652,0.060
1757368514.461787,44132.721,0.060
1757368514.463856,44134.790,0.060
1757368514.465925,44136.859,0.060
1757368514.467994,44138.927,0.060
1757368514.470063,44140.996,0.060
1757368514.472132,44143.066,0.060
1757368514.474201,44145.134,0.060
1757368514.476271,44147.204,0.060
1757368514.478339,44149.272,0.060
1757368514.480405,44151.338,0.060
1757368514.482473,44153.406,0.060
1757368514.484540,44155.473,0.060
1757368514.486608,44157.542,0.060
1757368514.488675,44159.609,0.060
1757368514.490744,44161.678,0.060
1757368514.492812,44163.745,0.060
1757368514.494882,44165.815,0.060
1757368514.496949,44167.883,0.060
1757368514.499018,44169.951,0.060
1757368514.501086,44172.020,0.060
1757368514.503155,44174.088,0.060
